strain	originating_lab	submitting_lab
A/Jalna/NIV9436/2009		other_database_import
A/Guangdong-Futian/SWL1485/2009-egg		who_chinese_national_influenza_center
A/Argentina/HNRG16/2009-egg		other_database_import
A/Brussels/INS209/2009		other_database_import
A/Chile/15/2010		other_database_import
A/Castro/12274/2010-egg	instituto_de_salud_publica_de_chile_	centers_for_disease_control_and_prevention
A/Chile/94/2010		other_database_import
A/PuertoMontt/11868/2010-egg	instituto_de_salud_publica_de_chile_	centers_for_disease_control_and_prevention
A/PuertoMontt/12498/2010-egg	instituto_de_salud_publica_de_chile_	centers_for_disease_control_and_prevention
A/Chile/72/2010		other_database_import
A/Chile/52/2010		other_database_import
A/Santiago/14851/2010-egg	instituto_de_salud_publica_de_chile_	centers_for_disease_control_and_prevention
A/Chile/115/2010		other_database_import
A/Yaroslavl/IIV-196/2009-egg	seasonal_h1n1pdm	mp
A/Shanghai-Pudongxin/SWL1162/2010		who_chinese_national_influenza_center
A/Argentina/HNRG66/2009-egg		other_database_import
A/Nara/44/2010	nara_prefectural_institute_for_hygiene_and_environment	national_institute_of_infectious_diseases_(niid)
A/Guangdong-Luohu/SWL1754/2009-egg		who_chinese_national_influenza_center
A/Fujian-Gulou/SWL1494/2010-egg		who_chinese_national_influenza_center
A/Paris/1249/2011		institut_pasteur
A/England/5260592/2010		other_database_import
A/Delhi/NIV3610/2009		other_database_import
A/Kobe/92359/2009		national_institute_of_infectious_diseases_(niid)
A/India/3508/2010	national_institute_of_virology	centers_for_disease_control_and_prevention
A/Bangladesh/3009/2009-egg	institute_of_epidemiology_disease_control_and_research_(iedcr)_&_bangladesh_national_influenza_centre_(nic)	centers_for_disease_control_and_prevention
A/Athens/INS159/2009		other_database_import
A/Ghana/FS-10-4009/2010	university_of_ghana	national_institute_for_medical_research
A/Athens/INS264/2009		other_database_import
A/Argentina/HNRG20/2009-egg		other_database_import
A/Madrid/GP1168/2009		instituto_de_salud_carlos_iii
A/Argentina/HNRG83/2009-egg		other_database_import
A/Zhejiang/91/2009		other_database_import
A/Guangdong-Luohu/SWL137/2010-egg		who_chinese_national_influenza_center
A/Argentina/HNRG5/2009-egg		other_database_import
A/SaudiArabia/4285/2009	ministry_of_health_riyadh	centers_for_disease_control_and_prevention
A/Victoria/2029/2009	victorian_infectious_diseases_reference_laboratory_	who_collaborating_centre_for_reference_and_research_on_influenza
A/Guangxi-Qinnan/SWL468/2009		who_chinese_national_influenza_center
A/KhonKaen/INS443/2010		other_database_import
A/Bangkok/INS511/2010		other_database_import
A/JammuKashmir/13/2009		other_database_import
A/Guangxi/SWL9/2009		who_chinese_national_influenza_center
A/Mexico/2208/2011-egg	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/Pennsylvania/2/2011-egg	pennsylvania_department_of_health	centers_for_disease_control_and_prevention
A/Pennsylvania/2/2011	pennsylvania_department_of_health	centers_for_disease_control_and_prevention
A/HoChiMinh/11342/2011		other_database_import
A/NewYork/4/2011	new_york_state_department_of_health	centers_for_disease_control_and_prevention
A/Vermont/4/2011	new_york_state_department_of_health	centers_for_disease_control_and_prevention
A/Vermont/4/2011-egg	new_york_state_department_of_health	centers_for_disease_control_and_prevention
A/NewYork/2/2011	new_york_city_department_of_health	centers_for_disease_control_and_prevention
A/DistrictofColumbia/WRAIR0303/2010		other_database_import
A/Fujian-Gulou/SWL1141/2010-egg		who_chinese_national_influenza_center
A/Argentina/HNRG30/2009-egg		other_database_import
A/NorthCarolina/3/2010-egg	north_carolina_state_laboratory_of_public_health	centers_for_disease_control_and_prevention
A/Guangxi-Qinnan/SWL1108/2010		who_chinese_national_influenza_center
A/Argentina/HNRG102/2010-egg		other_database_import
A/Brazil/8546/2010	national_influenza_center	centers_for_disease_control_and_prevention
A/Chile/3123/2009		other_database_import
A/Chile/2009/2009		other_database_import
A/Chile/1598/2009		other_database_import
A/Chile/1599/2009		other_database_import
A/Chile/2408/2009	instituto_de_salud_publica_de_chile_	centers_for_disease_control_and_prevention
A/Chile/1175/2009	instituto_de_salud_publica_de_chile_	centers_for_disease_control_and_prevention
A/Chile/40/2009		other_database_import
A/Delhi/57/2012		other_database_import
A/Delhi/59/2012		other_database_import
A/Delhi/60/2012		other_database_import
A/Amman/WRAIR3448N/2010		other_database_import
A/Amman/WRAIR3448T/2010		other_database_import
A/Mississippi/7/2011-egg	mississippi_public_health_laboratory	centers_for_disease_control_and_prevention
A/Mississippi/7/2011	mississippi_public_health_laboratory	centers_for_disease_control_and_prevention
A/Pakistan/680/2011	national_institute_of_health	centers_for_disease_control_and_prevention
A/Stockholm/13/2010		swedish_national_institute_for_communicable_disease_control
A/Wisconsin/8/2010	wisconsin_state_laboratory_of_hygiene	centers_for_disease_control_and_prevention
A/Wisconsin/8/2010-egg	wisconsin_state_laboratory_of_hygiene	centers_for_disease_control_and_prevention
A/Saga/90/2010	saga_prefectural_institute_of_public_health_and_pharmaceutical_research	national_institute_of_infectious_diseases_(niid)
A/Alborz/5607/2010-egg	tehran_university_of_medical_sciences	national_institute_for_medical_research
A/Chita/RII08/2012		other_database_import
A/Florida/4/2010	florida_department_of_health_tampa	centers_for_disease_control_and_prevention
A/Florida/4/2010-egg	florida_department_of_health_tampa	centers_for_disease_control_and_prevention
A/Uganda/543/2009	uganda_virus_research_institute_(uvri),_national_influenza_center	centers_for_disease_control_and_prevention
A/Uganda/543/2009-egg	uganda_virus_research_institute_(uvri),_national_influenza_center	centers_for_disease_control_and_prevention
A/Uganda/614/2009-egg	uganda_virus_research_institute_(uvri),_national_influenza_center	centers_for_disease_control_and_prevention
A/Uganda/614/2009	uganda_virus_research_institute_(uvri),_national_influenza_center	centers_for_disease_control_and_prevention
A/Okinawa/258/2009		national_institute_of_infectious_diseases_(niid)
A/Bihar/3/2009		other_database_import
A/Singapore/DMS26/2009		other_database_import
A/Hunan-Yueyanglou/SWL1432/2009-egg		who_chinese_national_influenza_center
A/Shizuoka/1131/2009		national_institute_of_infectious_diseases_(niid)
A/Argentina/HNRG36/2009-egg		other_database_import
A/Iraq/8529/2009-egg	u.s._air_force_school_of_aerospace_medicine	centers_for_disease_control_and_prevention
A/Iraq/8531/2009-egg	u.s._air_force_school_of_aerospace_medicine	centers_for_disease_control_and_prevention
A/Iraq/8529/2009	u.s._air_force_school_of_aerospace_medicine	centers_for_disease_control_and_prevention
A/NorthCarolina/53/2009	north_carolina_state_laboratory_of_public_health	centers_for_disease_control_and_prevention
A/Lisbon/159/2009		other_database_import
A/Rajasthan/9/2009		other_database_import
A/Tianjin/SWL2/2009-egg		who_chinese_national_influenza_center
A/Qingdao/1170/2009		other_database_import
A/Russia/61/2009-egg		other_database_import
A/Beijing/SWL19/2009		who_chinese_national_influenza_center
A/Argentina/HNRG39/2009-egg		other_database_import
A/Argentina/HNRG23/2009-egg		other_database_import
A/Beijing/718/2009		other_database_import
A/Nairobi/1/2010	kenya_medical_research_institute_(kemri)	who_collaborating_centre_for_reference_and_research_on_influenza
A/Yokosuka/48/2010	yokosuka_institute_of_public_health	national_institute_of_infectious_diseases_(niid)
A/NewYork/109/2009-egg	new_york_city_department_of_health	centers_for_disease_control_and_prevention
A/Fujian-Gulou/SWL11954/2009-egg		who_chinese_national_influenza_center
A/Kenya/43/2009		other_database_import
A/Kenya/11/2009		other_database_import
A/Australia/11/2009		other_database_import
A/Brisbane/17/2009	queensland_health_scientific_services	who_collaborating_centre_for_reference_and_research_on_influenza
A/Hubei-Hongshan/SWL14/2010		who_chinese_national_influenza_center
A/Guam/NHRC0026/2009		other_database_import
A/Argentina/HNRG17/2009-egg		other_database_import
A/Zhejiang/92/2009		other_database_import
A/Argentina/HNRG106/2009-egg		other_database_import
A/Australia/27/2009		other_database_import
A/CastillaLaMancha/RR4907/2009		instituto_de_salud_carlos_iii
A/Maryland/4/2011-egg	maryland_department_of_health_and_mental_hygiene	centers_for_disease_control_and_prevention
A/Maryland/4/2011	maryland_department_of_health_and_mental_hygiene	centers_for_disease_control_and_prevention
A/Chiba/12/2010	chiba_prefectural_institute_of_public_health	national_institute_of_infectious_diseases_(niid)
A/Hangzhou/B47/2011	hangzhou_center_for_disease_control_and_prevention	other_database_import
A/Hangzhou/A50/2011	hangzhou_center_for_disease_control_and_prevention	hangzhou_center_for_disease_control_and_prevention
A/Guangdong-Xiangzhou/1623/2011	who_chinese_national_influenza_center	centers_for_disease_control_and_prevention
A/TianjinHedong/SWL44/2011		other_database_import
A/Hangzhou/975/2010	hangzhou_center_for_disease_control_and_prevention	other_database_import
A/Macau/600129/2011	laboratorio_de_saude_publico	who_collaborating_centre_for_reference_and_research_on_influenza
A/Singapore/GP1022/2009		other_database_import
A/Argentina/HNRG3/2009-egg		other_database_import
A/Brazil/5672/2012	instituto_adolfo_lutz	centers_for_disease_control_and_prevention
A/Paraguay/20199/2012	central_laboratory_of_public_health	centers_for_disease_control_and_prevention
A/Paraguay/191/2012	central_laboratory_of_public_health	centers_for_disease_control_and_prevention
A/Paraguay/249/2012	central_laboratory_of_public_health	centers_for_disease_control_and_prevention
A/Paraguay/114/2012	central_laboratory_of_public_health	centers_for_disease_control_and_prevention
